AAGA631005CTA,4,12/09/2017 13:05,3669
AAOC6707165W5,5,19/11/2013 20:18,5632
AOCT760409D30,5,18/04/2013 20:25,4283
AUSN6409083P3,4,29/04/2013 19:42,8198
CAGJ680431787,3,28/03/2014 00:53,4223
CAMC840419KF7,2,18/03/2015 01:11,6524
CASJ830601NS7,4,28/09/2017 05:25,3147
CUDE700820P27,4,10/03/2012 04:17,6420
DEBG700510MK3,2,08/07/2012 09:22,7933
EISH580111FL9,5,26/08/2014 05:15,971
GOMO6005084U9,5,28/03/2015 06:22,5786
GULB820902R5A,3,01/03/2014 17:41,4785
LOLN720902VC3,4,08/06/2016 23:52,3152
MAGE750817646,4,29/12/2012 07:04,7079
MAMX780102TN0,1,04/09/2014 04:04,6799
MASL7408081R1,4,26/07/2013 10:01,1082
MOBP88120292A,1,19/01/2013 20:47,1894
MOLE6009226I7,4,09/02/2015 23:29,7782
OAVM730208D52,5,27/02/2018 13:31,3738
PACA631101FA9,2,05/08/2013 14:26,2473
PASJ660308IE9,3,15/09/2012 20:10,2004
PEGF630518KC6 ,2,25/09/2013 20:15,1742
PEGR620311G98 ,2,21/11/2013 00:55,3586
RATL621008LC1,4,31/08/2012 23:47,8010
PEGR620211G98 ,3,02/04/2013 06:50,8399
